Player,Team,Position,Age,Date.of.Birth,Birth.City,Birth.State.Province,Birth.Country,Nationality,Height..in.,Weight..lbs.,Draft.Year,Draft.Team,Draft.Round,Round.Pick,Overall.Draft.Position
AARON.DOWNEY,DET,R,44,1974-08-27,Shelburne,ON,CAN,CAN,73,215,-,-,-,-,-
AARON.JOHNSON,NYI,D,35,1983-04-30,Port Hawkesbury,NS,CAN,CAN,73,204,2001,CBJ,3,22,85
AARON.MILLER,VAN,D,47,1971-08-11,Buffalo,NY,USA,USA,75,210,1989,NYR,5,4,88
AARON.ROME,CBJ,D,34,1983-09-27,Nesbitt,MB,CAN,CAN,73,220,2002,L.A,4,8,104
AARON.VOROS,MIN,L,37,1981-07-02,Vancouver,BC,CAN,CAN,74,210,2001,N.J,8,2,229
AARON.WARD,BOS,D,45,1973-01-17,Windsor,ON,CAN,CAN,74,209,1991,WIN,1,5,5
ADAM.BERTI,CHI,L,32,1986-07-01,Scarborough,ON,CAN,CAN,75,205,2004,CHI,3,3,68
ADAM.BURISH,CHI,R,35,1983-01-06,Madison,WI,USA,USA,73,195,2002,CHI,9,22,282
ADAM.FOOTE,CBJ,D,47,1971-07-10,Toronto,ON,CAN,CAN,74,220,1989,QUE,2,1,22
ADAM.FOOTE,COL,D,47,1971-07-10,Toronto,ON,CAN,CAN,74,220,1989,QUE,2,1,22
ADAM.HALL,PIT,R,38,1980-08-14,Kalamazoo,MI,USA,USA,74,212,1999,NSH,2,24,52
ADAM.MAIR,BUF,C,39,1979-02-15,Hamilton,ON,CAN,CAN,73,208,1997,TOR,4,4,84
ADAM.PINEAULT,CBJ,R,32,1986-05-23,Holyoke,MA,USA,USA,73,201,2004,CBJ,2,16,46
ADRIAN.AUCOIN,CGY,D,45,1973-07-03,Ottawa,ON,CAN,CAN,74,215,1992,VAN,5,21,117
ALAIN.NASREDDINE,PIT,D,43,1975-07-10,Montreal,QC,CAN,CAN,73,204,1993,FLA,6,5,135
ALES.HEMSKY,EDM,R,35,1983-08-13,Pardubice,,CZE,CZE,72,177,2001,EDM,1,13,13
ALES.KOTALIK,BUF,R,39,1978-12-23,Jindrichuv Hradec,,CZE,CZE,73,225,1998,BUF,6,19,164
ALEX.FOSTER,TOR,C,34,1984-08-26,Canton,MI,USA,USA,72,200,-,-,-,-,-
ALEX.FROLOV,L.A,L,36,1982-06-19,Moscow,,RUS,RUS,74,210,2000,L.A,1,20,20
ALEX.GOLIGOSKI,PIT,D,33,1985-07-30,Grand Rapids,MN,USA,USA,71,185,2004,PIT,2,31,61
ALEX.KOVALEV,MTL,R,45,1973-02-24,Togliatti,,RUS,RUS,74,222,1991,NYR,1,15,15
ALEX.OVECHKIN,WSH,L,33,1985-09-17,Moscow,,RUS,RUS,75,235,2004,WSH,1,1,1
ALEX.TANGUAY,CGY,L,38,1979-11-21,Ste-Justine,QC,CAN,CAN,73,194,1998,COL,1,12,12
ALEXANDER.EDLER,VAN,D,32,1986-04-21,Ostersund,,SWE,SWE,75,214,2004,VAN,3,26,91
ALEXANDER.NIKULIN,OTT,C,33,1985-08-25,Perm,,RUS,RUS,73,198,2004,OTT,4,24,122
ALEXANDER.RADULOV,NSH,R,32,1986-07-05,Nizhny Tagil,,RUS,RUS,73,201,2004,NSH,1,15,15
ALEXANDER.SEMIN,WSH,R,34,1984-03-03,Krasnojarsk,,RUS,RUS,74,211,2002,WSH,1,13,13
ALEXANDER.STEEN,TOR,L,34,1984-03-01,Winnipeg,MB,CAN,SWE,72,211,2002,TOR,1,24,24
ALEXANDRE.BURROWS,VAN,L,37,1981-04-11,Pincourt,QC,CAN,CAN,73,197,-,-,-,-,-
ALEXANDRE.PICARD,PHI,D,33,1985-07-05,Gatineau,QC,CAN,CAN,75,215,2003,PHI,3,17,85
ALEXANDRE.PICARD,T.B,D,33,1985-07-05,Gatineau,QC,CAN,CAN,75,215,2003,PHI,3,17,85
ALEXANDRE.PICARD,CBJ,L,32,1985-10-09,Les Saules,QC,CAN,CAN,74,206,2004,CBJ,1,8,8
ALEXEI.PONIKAROVSKY,TOR,L,38,1980-04-09,Kiev,,UKR,UKR,76,225,1998,TOR,4,1,87
ALEXEI.SEMENOV,S.J,D,37,1981-04-10,Murmansk,,RUS,RUS,78,245,1999,EDM,2,8,36
ALEXEI.ZHITNIK,ATL,D,45,1972-10-10,Kiev,,UKR,UKR,71,225,1991,L.A,4,15,81
ALLAN.ROURKE,EDM,D,38,1980-03-06,Mississauga,ON,CAN,CAN,74,215,1998,TOR,6,9,154
ANDERS.ERIKSSON,CGY,D,43,1975-01-09,Bollnas,,SWE,SWE,75,224,1993,DET,1,22,22
ANDRE.ROY,T.B,R,43,1975-02-08,Port Chester,NY,USA,USA,76,229,1994,BOS,6,21,151
ANDREAS.KARLSSON,T.B,C,43,1975-08-19,Luvika,,SWE,SWE,76,201,1993,CGY,6,18,148
ANDREAS.LILJA,DET,D,43,1975-07-13,Helsingborg,,SWE,SWE,75,220,2000,L.A,2,24,54
ANDREI.KOSTITSYN,MTL,L,33,1985-02-03,Novopolotsk,,BLR,BLR,72,214,2003,MTL,1,10,10
ANDREI.MARKOV,MTL,D,39,1978-12-20,Voskresensk,,RUS,RUS,72,200,1998,MTL,6,17,162
ANDREI.ZYUZIN,CHI,D,40,1978-01-21,Ufa,,RUS,RUS,73,208,1996,S.J,1,2,2
ANDREJ.MESZAROS,OTT,D,32,1985-10-13,Povaská Bystrica,,SVK,SVK,74,223,2004,OTT,1,23,23
ANDREJ.SEKERA,BUF,D,32,1986-06-08,Bojnice,,SVK,SVK,72,200,2004,BUF,3,6,71
ANDREW.ALBERTS,BOS,D,37,1981-06-30,Minneapolis,MN,USA,USA,77,218,2001,BOS,6,14,179
ANDREW.BRUNETTE,COL,L,45,1973-08-24,Sudbury,ON,CAN,CAN,73,215,1993,WSH,7,18,174
ANDREW.COGLIANO,EDM,"C, L",31,1987-06-14,Toronto,ON,CAN,CAN,70,177,2005,EDM,1,25,25
ANDREW.EBBETT,ANA,C,35,1983-01-02,Vernon,BC,CAN,CAN,69,174,-,-,-,-,-
ANDREW.FERENCE,BOS,D,39,1979-03-17,Edmonton,AB,CAN,CAN,71,182,1997,PIT,8,18,208
ANDREW.LADD,CAR,L,32,1985-12-12,Maple Ridge,BC,CAN,CAN,75,192,2004,CAR,1,4,4
ANDREW.LADD,CHI,L,32,1985-12-12,Maple Ridge,BC,CAN,CAN,75,192,2004,CAR,1,4,4
ANDREW.MURRAY,CBJ,C,36,1981-11-06,Selkirk,MB,CAN,CAN,74,210,2001,CBJ,8,15,242
ANDREW.PETERS,BUF,L,38,1980-05-05,St. Catharines,ON,CAN,CAN,76,240,1998,BUF,2,7,34
ANDY.GREENE,N.J,D,35,1982-10-30,Trenton,MI,USA,USA,71,190,-,-,-,-,-
ANDY.HILBERT,NYI,L,37,1981-02-06,Howell,MI,USA,USA,70,188,2000,BOS,2,7,37
