"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"","A.J. Greer","COL","L","21","1996-12-14","Joliette","QC","CAN","CAN","75","204","2015","COL","2","9","39"
"","Aaron Ekblad","FLA","D","22","1996-02-07","Windsor","ON","CAN","CAN","76","216","2014","FLA","1","1","1"
"","Aaron Ness","WSH","D","28","1990-05-18","Roseau","MN","USA","USA","70","184","2008","NYI","2","10","40"
"","Adam Clendening","NYR","D","25","1992-10-26","Niagara Falls","NY","USA","USA","72","196","2011","CHI","2","6","36"
"","Adam Cracknell","DAL","R","33","1985-07-15","Prince Albert","SK","CAN","CAN","74","218","2004","CGY","9","21","279"
"","Adam Erne","T.B","L","23","1995-04-20","New Haven","CT","USA","USA","73","214","2013","T.B","2","3","33"
"","Adam Henrique","N.J","C","28","1990-02-06","Brantford","ON","CAN","CAN","72","195","2008","N.J","3","21","82"
"","Adam Larsson","EDM","D","25","1992-11-12","Skellefteå","","SWE","SWE","75","210","2011","N.J","1","4","4"
"","Adam Lowry","WPG","C, L","25","1993-03-29","St. Louis","MO","USA","USA","77","210","2011","WPG","3","6","67"
"","Adam McQuaid","BOS","D","31","1986-10-12","Charlottetown","PE","CAN","CAN","76","212","2005","CBJ","2","25","55"
"","Adam Pardy","NSH","D","34","1984-03-29","Bonavista","NL","CAN","CAN","76","227","2004","CGY","6","10","173"
"","Adam Pelech","NYI","D","24","1994-08-16","Toronto","ON","CAN","CAN","75","217","2012","NYI","3","4","65"
"","Adrian Kempe","L.A","L","22","1996-09-13","Kramfors","","SWE","SWE","74","195","2014","L.A","1","29","29"
"","Alan Quine","NYI","C","25","1993-02-25","Belleville","ON","CAN","CAN","72","203","2013","NYI","6","15","166"
"","Alec Martinez","L.A","D","31","1987-07-26","Rochester Hills","MI","USA","USA","73","208","2007","L.A","4","4","95"
"","Aleksander Barkov","FLA","C","23","1995-09-02","Tampere","","FIN","FIN","75","213","2013","FLA","1","2","2"
"","Ales Hemsky","DAL","R","35","1983-08-13","Pardubice","","CZE","CZE","72","177","2001","EDM","1","13","13"
"","Alex Biega","VAN","D","30","1988-04-04","Montreal","QC","CAN","CAN","70","193","2006","BUF","5","24","147"
"","Alex Chiasson","CGY","R","27","1990-10-01","Montreal","QC","CAN","CAN","76","208","2009","DAL","2","8","38"
"","Alex Galchenyuk","MTL","C","24","1994-02-12","Milwaukee","WI","USA","USA","73","207","2012","MTL","1","3","3"
"","Alex Goligoski","ARI","D","33","1985-07-30","Grand Rapids","MN","USA","USA","71","185","2004","PIT","2","31","61"
"","Alex Killorn","T.B","C, L","29","1989-09-14","Halifax","NS","CAN","CAN","73","196","2007","T.B","3","16","77"
"","Alex Ovechkin","WSH","L","33","1985-09-17","Moscow","","RUS","RUS","75","235","2004","WSH","1","1","1"
